4235
6400
Cond - Action  - accuracy -  fitness - Numerosity - Experience - [C]SetSize - Generality - timeStamp
  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0165522592984932 1.0  0.0 0.983559834734302  0.08056903042118962 1.0  0.0 0.8898343571756215  0.0 0.9626796676338873  0.0 1.0  0.0 0.19091869423558847  0.06361411272011033 1.0   0  	1.0	0.7639215222798416	88	909  85.69933920704845  20.866257151339607  99845
  0.0 1.0  0.0 1.0  0.0 1.0  0.0 0.9736088817690736  0.0 0.9587045925313176  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 0.9337324266959434  0.0 1.0  0.018179401927775035 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 0.9449585220696826  0.0 1.0  0.0 1.0  0.013380941826265503 1.0   1  	1.0	0.6083954868224523	83	2713  122.44948377581119  21.779444079311975  99987
  0.0 1.0  0.0 1.0  0.0 1.0  0.09919653090168329 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 0.9327174756077328  0.0 0.929193009753828  0.0 0.9675961892400682  0.0 1.0  0.0 1.0  0.10671180122528684 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 0.9039751030401801  0.0 1.0   1  	1.0	0.7099139985703076	83	1355  94.97562776957152  21.52757344551484  99889
  0.0 1.0  0.0014406563390679805 1.0  0.0 1.0  0.051639651837922566 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 0.9680132042475609  0.0 1.0  0.0 0.8940834217856738  0.0 0.2234732976638644  0.0 1.0   0  	1.0	0.6327020391081154	78	1751  115.31942857142853  21.03248961552011  99957
  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.04704287722371257 1.0  0.0 1.0  0.09409282905479369 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.08124445733145567 1.0  0.0 1.0  0.0 0.9630598920714011   0  	1.0	0.6129527600820269	75	2161  123.11250000000005  21.740679728461437  99905
  0.0 1.0  0.0 1.0  0.040376228319601595 1.0  0.0 1.0  0.09578541127492912 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 0.3721209710960869  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0   0  	1.0	0.6825668690622358	74	1654  115.56745311554747  21.235959331501558  99916
  0.0 1.0  0.0 0.9442987073896988  0.0 1.0  0.052190175829196925 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.004257809429224913 1.0  0.08061518061601132 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.024242820064569556 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0   1  	1.0	0.7257900346872235	69	2780  130.26016552716771  21.782992721450697  99904
  0.0 1.0  0.0 0.9267611052632416  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 0.9642543925091497  0.0 1.0  0.0 1.0  0.05184683190643527 1.0  0.0 1.0  0.0 1.0  0.0 0.9231351102302288  0.0 1.0  0.0 1.0  0.0 1.0  0.0 0.9844553703151443  0.0 1.0  0.0 1.0  0.013094535711168726 1.0   1  	1.0	0.7835444509654435	62	1067  98.03377110694178  21.73366461070016  99930
  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 0.9675961892400682  0.0 1.0  0.0 1.0  0.05471232907937383 1.0  0.0 1.0  0.0 0.9511985079132401  0.040003556554546196 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.05825813243791291 1.0  0.0 1.0   1  	1.0	0.4986685035824413	57	3158  134.27842888818515  21.765820679081475  99933
  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.010056550700129674 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 1.0  0.0 0.9003061978256225  0.0 1.0  0.0 0.3721209710960869  0.0 1.0  0.0 1.0  0.0 0.9287949117244965  0.0 1.0  0.0 1.0  0.0 1.0  0.0 0.9768825615084077  0.0 1.0   0  	1.0	0.5433232638816786	56	2459  123.4552481692433  21.168048091454484  99980
